trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-243.9081161820795,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 4}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",20,0,-131.74355298798866,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-138.2085318650884,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-118.05792605967572,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-92.2841980714568,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-70.26277472010929,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-93.09062066260755,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",30,0,-148.92012805170103,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-104.11109723700956,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-167.1779818915776,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-244.8043642365986,"{0: 12, 1: 0, 2: 8, 3: 1, 4: 4}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,0,-222.40007373695315,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",30,5,-184.40076428553596,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",1
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-108.71861258846425,"{0: 10, 1: 0, 2: 8, 3: 2, 4: 0}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,0,-136.53647167484314,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",30,0,-84.95240694557859,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",30,3,-161.41771291989525,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 3}",1
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",25,0,-152.25834099048234,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,13,-57.17946588399359,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 1}",1
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,1,-64.16531563130957,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-128.16552875084957,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",30,0,-63.32420916789296,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-59.98934806379162,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",25,0,-79.94079754362684,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",20,0,-73.68651220429007,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-64.9615156879758,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,12,-52.60400667022856,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",30,0,-237.65040586043915,"{0: 16, 1: 0, 2: 8, 3: 3, 4: 3}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-140.12464585482223,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-160.06143564042546,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",30,6,-66.15270974950512,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 1}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,0,-101.91854387306368,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",1
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-35.15564386095972,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,0,-106.12946814579148,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-173.22658884000447,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-2.8675138354494463,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",20,0,-99.14846496174337,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,0.7378324519946193,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-132.11271724652082,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,4,-101.21621595820892,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 1}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-77.93481185992563,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",30,0,-106.66331575703099,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490558}",20,0,-31.486803809908153,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-89.65583640366083,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",35,0,-130.4792230332904,"{0: 28, 1: 1, 2: 2, 3: 1, 4: 3}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-46.329223900831416,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-11.800910841557247,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,10,15.662552854227513,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",30,0,-16.0546107652189,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.7518057291408949}",25,0,-130.65374344660052,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",1
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",30,0,-68.23358922307668,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",30,0,-103.81958647952183,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",30,1,-81.96650809540925,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 1}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-10.009004900536542,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",25,8,-62.975596195413466,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,9,-2.064804919545402,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",20,4,-83.23868111674406,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",35,0,-234.10265770086832,"{0: 18, 1: 7, 2: 6, 3: 0, 4: 4}",0
81,False,"{'a': 0.01, 'e': 0.689498432951747}",20,0,-180.43531131491093,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",20,9,-41.12788159040089,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.01, 'e': 0.674875760071267}",20,0,-60.05585168405949,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",30,0,-123.19976560177494,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-193.6216056908591,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",30,0,-72.8047613379321,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-66.12066334234765,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,10,-48.94739496449925,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",30,0,-118.13654350430686,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",25,0,-27.323322168659836,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
